feature,odds_ratio,p_value,coefficient
rs6815735,4.953032424391944,0.033285108971316646,1.59999999999936
rs9908320,4.953032424391944,0.023254005524786736,1.59999999999936
rs298173,0.23640237734044744,0.04442160223420655,-1.4422199370690867
rs7334739,0.23640237734044744,0.04158755738799558,-1.4422199370690867
rs6765231,0.23640237734044744,0.04099515531427689,-1.4422199370690867
rs1259552033,0.23640237734044744,0.03993589957361188,-1.4422199370690867
rs35649980,0.23640237734044744,0.040625447213207266,-1.4422199370690867
rs12541175,1.5081081393002997,0.0011602912828165834,0.4108559774260351
rs2039594649,1.5081081393002997,0.0011602912828165834,0.4108559774260351
rs1960672,1.341308321689548,0.0011602912828165834,0.2936454971037451
rs2728688,1.341308321689548,0.0011602912828165834,0.2936454971037451
rs1171020644,1.3357469388082672,0.013211977319570911,0.28949064011309683
rs76340447,1.3357469388082672,0.015097699267763609,0.28949064011309683
rs1658428564,1.1618342427293202,0.009878852158871743,0.15000000000089264
rs532468651,1.1618342427293202,0.011072935098223269,0.15000000000089264
rs6718645,1.1119668530243618,0.0011602912828165834,0.10613038695278128
rs28736685,1.1119668530243618,0.0011602912828165834,0.10613038695278128
rs2083726,0.9785543534800293,0.0011602912828165834,-0.02167894593192515
rs9369551,0.9785543534800293,0.0011602912828165834,-0.02167894593192515
rs60358286,0.9785543534800293,0.0011602912828165834,-0.02167894593192515
rs1663800581,0.9785543534800293,0.0011602912828165834,-0.02167894593192515
rs1557395390,0.9785543534800293,0.0011602912828165834,-0.02167894593192515
rs7395513,0.9785543534800293,0.0011602912828165834,-0.02167894593192515
rs75763606,1.0046927599164146,0.0011602912828163614,0.004681783245788943
rs4669840,1.0046927599164146,0.0011602912828163614,0.004681783245788943
