feature,odds_ratio,p_value,coefficient
rs35649980,4.953032424391944,0.02328847120574795,1.59999999999936
rs9908320,4.953032424391944,0.029589977843690107,1.59999999999936
rs6815735,0.23640237734044744,0.04224060073655411,-1.4422199370690867
rs298173,0.23640237734044744,0.04128997140730606,-1.4422199370690867
rs7334739,0.23640237734044744,0.0401289287476394,-1.4422199370690867
rs6765231,0.23640237734044744,0.038341226435479436,-1.4422199370690867
rs1259552033,0.23640237734044744,0.04442781010319652,-1.4422199370690867
rs72793633,1.5081081393002997,0.0006874549305464495,0.4108559774260351
rs2039594649,1.5081081393002997,0.0006874549305464495,0.4108559774260351
rs113971165,1.341308321689548,0.0006874549305464495,0.2936454971037451
rs2728688,1.341308321689548,0.0006874549305464495,0.2936454971037451
rs10895810,1.3357469388082672,0.012803777830331375,0.28949064011309683
rs76340447,1.3357469388082672,0.014163778192425758,0.28949064011309683
rs10840124,1.1618342427293202,0.009254540770458064,0.15000000000089264
rs532468651,1.1618342427293202,0.010372340619121623,0.15000000000089264
rs71278719,1.1119668530243618,0.0006874549305464495,0.10613038695278128
rs28736685,1.1119668530243618,0.0006874549305464495,0.10613038695278128
rs75763606,0.9785543534800293,0.0006874549305464495,-0.02167894593192515
rs2083726,0.9785543534800293,0.0006874549305464495,-0.02167894593192515
rs9369551,0.9785543534800293,0.0006874549305464495,-0.02167894593192515
rs60358286,0.9785543534800293,0.0006874549305464495,-0.02167894593192515
rs1663800581,0.9785543534800293,0.0006874549305464495,-0.02167894593192515
rs1557395390,0.9785543534800293,0.0006874549305464495,-0.02167894593192515
rs7395513,1.0046927599164146,0.0006874549305464495,0.004681783245788943
rs4669840,1.0046927599164146,0.0006874549305464495,0.004681783245788943
