feature,odds_ratio,p_value,coefficient
rs201046358,0.2063355936310937,0.011342908676427621,-1.578251340432306
rs2708978,4.169666372381656,0.00108601557241772,1.4278360259869054
rs80103195,0.49227857314246004,0.017804678609624425,-0.7087105171496185
rs12617632,1.8584495014020386,0.03254763792860249,0.6197425386895038
rs1439098208,0.6615033347942546,0.0007102923092037194,-0.41324025417867793
rs80177381,1.489948144428209,0.019216034368082724,0.3987413169545751
rs1191955020,0.6769928016951297,0.00937403925354885,-0.39009463877760076
rs3813991,1.3855127307106547,0.0,0.3260702738103705
rs7146310,1.3777628665534347,0.020438593462511756,0.32046107255337675
rs112280833,0.7365420394528169,0.0008067623091616571,-0.30578896466389793
rs2268576,1.3442981762700086,0.0005259316814278936,0.2958720748380131
rs143075261,0.7490190429615416,0.0,-0.28899087127337325
rs200856423,0.7899144329980089,3.2102266667166646e-07,-0.23583065204805795
rs1356050976,1.2177506362391626,0.0,0.19700541617546255
rs9384453,0.8471171036615288,0.015377493763010674,-0.16591633690732518
rs867206711,0.8504932383785332,0.0,-0.161938817350036
rs61145565,1.1532616115284353,5.517295731394256e-09,0.14259411193182162
rs17634067,0.8847327247285277,4.359550148058666e-05,-0.12246968554365611
rs79286459,0.9018203188324573,0.001549031712405169,-0.10333998183130913
rs1964160,0.9181064059169448,0.042944934960505554,-0.08544198449385214
rs1384489216,0.9275257340507892,0.0,-0.07523473927812921
rs867593301,1.0577234371675845,0.0,0.05611889772184358
rs2617035,1.0531079521798796,0.0,0.051745746586501024
rs10934881,0.9499943964445279,3.91092047635766e-10,-0.05129919288439098
rs41267423,1.0508725721776486,0.0,0.04962084018413067
rs5772215,0.9553777522917088,0.0,-0.04564846457361527
rs75778131,0.957057135691893,0.016578584134874674,-0.043892186393992484
rs7521889,1.0413578914172696,0.0,0.040525526338485184
rs694225,0.9618828741841532,1.9182433419473455e-12,-0.038862588136181715
rs12154787,0.9653462983820856,0.01382143123736257,-0.03526838359040436
rs11693427,0.9690831636029065,0.0,-0.03140484662244634
rs1158287180,0.9712746246539323,6.121527729163745e-10,-0.02914602405263387
rs72664149,0.9725459820340492,0.0,-0.027837922310085503
rs144379780,1.0266579935935047,0.0,0.02630886048315627
rs1591000740,0.9747112020889531,0.0,-0.02561405484674788
rs376614894,0.9749958616915867,0.0,-0.025322052412182845
rs3824948,0.9758729922184837,0.0,-0.024422831960492584
rs2305255,1.023895156166027,0.0,0.02361413481884046
rs950841550,1.0221102487071758,0.0,0.021869361410709443
rs4287443,1.0218418226236325,0.0,0.02160670741911017
rs5777833,1.020126184035614,0.0,0.01992632948358595
rs56016589,0.980933095193532,1.337041366511471e-09,-0.019251022360755914
rs34061280,0.9809423224780444,0.0,-0.019241615764975923
rs4802229,1.017686975877749,0.0,0.017532381529209926
rs10524571,0.9837505794170299,0.0,-0.01638289026261124
rs200256514,1.0160574213225138,1.7371333260740585e-09,0.015929864608980125
rs306447,1.0152669676045905,0.0001848225413620952,0.015151600179989858
rs1152005,1.013022892812724,0.0,0.012938824036586246
rs2438472,0.9886403446368335,0.0,-0.01142466907263421
rs7500394,1.009777845411814,0.0,0.009730351621703204
rs1579777506,0.9910343607504666,0.0,-0.00900607244751889
rs10414395,0.9912268156319988,0.0,-0.008811895328550022
rs1467671285,1.0085633159455163,0.0,0.008526858737403803
rs72770937,0.9918081103752365,0.0,-0.008225627530374731
rs1981416069,1.0081157454631515,0.0,0.008082989905443653
rs492507,0.992220193875972,0.0,-0.00781022669584202
rs1290374300,0.9923176154940879,0.0,-0.007712046033589872
rs56194397,0.9929204627909882,0.0,-0.007104716039243787
rs1663252982,0.9929563716428867,0.0,-0.007068551810647354
rs11109473,0.9931872558710972,2.24485667832397e-08,-0.006836056812750787
rs17699161,0.993585956618494,1.5543122344752192e-15,-0.0064347017408759285
rs7544278,0.9944025789716602,0.0,-0.0056131452937652655
rs701658,1.0055401956558472,0.0,0.005524905220566703
rs946982758,1.005023438275699,0.0,0.005010862906455475
rs74528004,0.9952483915322825,0.0,-0.004762933247419798
rs7510320,0.9957662588723699,0.0,-0.004242728786181345
rs17500548,0.9961989621564575,0.0,-0.0038082801458883
rs78862932,0.9966976799901963,0.0,-0.003307784702620161
rs56871643,1.003224684036549,0.0,0.003219495893404145
rs1343403724,1.002162126075665,0.0,0.00215979204478876
rs1212744360,0.9979743826348737,0.0,-0.00202767170265127
rs781337499,1.001814094002479,0.0,0.001812450521273398
rs11927288,0.99820280309301,0.0,-0.001798813802895195
rs1147336,0.9982310813006952,0.0,-0.0017704850834638747
rs58513496,0.9983848176362593,0.0,-0.0016164881770485777
rs12127270,0.9985241356840135,0.0,-0.0014769544764773514
rs144777515,0.9986473220541991,0.0,-0.0013535936404665385
rs714417,0.9986774752878724,0.0,-0.0013234000197637338
rs12139194,1.0013161417046126,0.0,0.0013152763493227521
rs1214517601,1.0011027802690018,2.9149024636909715e-05,0.0011021726535108782
rs113846109,0.9989316951663821,0.0,-0.0010688758779625197
rs305526,1.00088162321016,0.0,0.0008812348086834859
rs2133709912,0.999152595460098,0.0008581958057127803,-0.0008477637900968873
rs8175977,1.0007927887954045,0.0010591949780274224,0.0007924747043617617
rs878485,0.9992277253195813,0.0,-0.0007725730381290118
rs10562483,1.000741329410278,0.0,0.0007410547613592007
rs780186006,0.9993314094073745,0.0,-0.0006688141989887283
rs13257147,0.9993745794113021,0.0,-0.0006256162457371343
rs12037970,1.0005104519676689,0.0,0.0005103217313809307
rs375159478,0.9995100256314586,0.0001305867384358006,-0.0004900944452069099
rs796281137,0.9996989786953954,0.0,-0.00030106662061180875
rs1305335498,1.000216936909365,0.0,0.00021691338195630632
rs796076164,0.9997867074330922,0.0,-0.0002133153170024227
rs71462309,0.9997968356424345,0.0,-0.0002031849982393073
rs4711931,1.0001936859067608,0.0,0.00019366715206716196
rs78282347,0.9998491982306427,0.0,-0.00015081314108745156
rs740052,0.9998588713766919,0.0,-0.00014113858288932927
rs11172794,1.0001382128103276,0.0,0.00013820325981697638
rs1047731169,1.0001216590259314,0.0,0.00012165162607239651
rs2166097,0.9998784246317123,0.0,-0.00012158275917182412
rs58046761,0.9998840235794368,0.0,-0.0001159831463482801
rs201822724,1.0001138408427375,0.0,0.00011383436336058134
rs1649199288,0.9998924899794748,0.0,-0.00010751580014173031
rs7567743,0.9998993619463913,0.0,-0.00010064311795737085
rs1572401651,0.9999260798592338,0.002602702558841541,-7.392287299448287e-05
rs6051782,1.000050700339254,0.0,5.06990540352766e-05
rs4354261,1.00003999564549,1.577591931467559e-05,3.9994845685534334e-05
rs1340075511,0.9999617201661327,0.0,-3.828056655877552e-05
rs35751437,1.0000350788722125,0.0,3.507825696330999e-05
rs12376167,0.9999717578252371,0.0,-2.824257358068075e-05
rs12610112,0.9999783166752227,0.0,-2.168355986395114e-05
rs1272022040,0.9999837277479435,0.0,-1.6272384450934713e-05
rs59399698,0.9999847687335763,0.0,-1.5231382420538979e-05
rs758010688,1.0000148822173858,0.0,1.4882106646704316e-05
rs79057393,0.9999876058022579,0.0,-1.2394274550830584e-05
rs2151072863,0.9999881891312842,0.0,-1.1810938464698883e-05
rs6757870,1.0000108979156157,0.0,1.0897856233796515e-05
rs1484400146,1.000010889224476,0.0,1.0889165188699984e-05
rs1444711385,1.0000106399336606,0.0,1.0639877056912845e-05
rs117718148,1.0000084900287092,0.0,8.489992669053563e-06
rs113274639,0.9999918249765992,0.0,-8.175056816421717e-06
rs1168611227,0.9999926519576301,0.0,-7.348069366937719e-06
rs1223999426,0.9999927140324143,0.0,-7.2859941284993455e-06
rs35279877,0.9999928643737495,2.220446049250313e-16,-7.135651709283827e-06
rs4731598,1.0000062078538707,0.0,6.2078346020871445e-06
rs2247937,0.9999939687203452,0.0,-6.031297843095099e-06
rs1831556911,0.9999950610621268,0.0,-4.93895006978482e-06
rs59482352,1.0000046648351322,3.8965364268506164e-10,4.664824251821026e-06
rs76253428,1.0000041002407158,0.0,4.1002323098410736e-06
rs8035844,1.0000039525866047,0.0,3.952578793319702e-06
rs63750417,1.0000037232602708,0.0,3.7232533393853723e-06
rs35136841,0.9999968819873961,0.0,-3.1180174648527956e-06
rs397994346,0.999997293329501,0.0,-2.706674161972606e-06
rs352054,0.9999975811644547,0.0,-2.4188384706649535e-06
